n_numbers_in,trial,accuracy
128,42,1.0
256,42,0.0
2,43,1.0
4,43,1.0
8,43,1.0
16,43,1.0
32,43,1.0
64,43,1.0
128,43,1.0
256,43,0.0859375
2,44,1.0
4,44,1.0
8,44,1.0
16,44,1.0
32,44,1.0
64,44,1.0
128,44,1.0
256,44,0.10546875
2,45,1.0
4,45,1.0
8,45,1.0
16,45,1.0
32,45,1.0
64,45,1.0
128,45,0.09375
256,45,0.1015625
2,46,1.0
4,46,1.0
8,46,1.0
16,46,1.0
32,46,1.0
64,46,0.125
128,46,1.0
256,46,0.07421875
2,47,1.0
4,47,1.0
8,47,1.0
16,47,1.0
32,47,1.0
64,47,1.0
128,47,0.0859375
256,47,1.0
2,48,1.0
4,48,1.0
8,48,1.0
16,48,1.0
32,48,1.0
64,48,1.0
128,48,1.0
256,48,0.078125
2,49,1.0
4,49,1.0
8,49,1.0
16,49,1.0
32,49,1.0
64,49,1.0
128,49,1.0
256,49,0.5703125
2,50,1.0
4,50,1.0
8,50,1.0
16,50,1.0
32,50,1.0
64,50,0.96875
128,50,1.0
256,50,0.5390625
2,51,1.0
4,51,1.0
8,51,1.0
16,51,1.0
32,51,1.0
64,51,1.0
128,51,1.0
256,51,0.15625
2,52,1.0
4,52,1.0
8,52,1.0
16,52,1.0
32,52,1.0
64,52,0.0
128,52,0.0
256,52,0.99609375
2,53,1.0
4,53,1.0
8,53,1.0
16,53,1.0
32,53,1.0
64,53,0.109375
128,53,0.0390625
256,53,0.1015625
2,54,1.0
4,54,1.0
8,54,1.0
16,54,1.0
32,54,1.0
64,54,0.109375
128,54,0.0078125
256,54,0.0078125
2,55,1.0
4,55,1.0
8,55,1.0
16,55,1.0
32,55,1.0
64,55,1.0
128,55,1.0
256,55,0.97265625
2,56,1.0
4,56,1.0
8,56,1.0
16,56,1.0
32,56,1.0
64,56,0.015625
128,56,0.078125
256,56,0.1171875
2,57,1.0
4,57,1.0
8,57,1.0
16,57,1.0
32,57,1.0
64,57,1.0
128,57,0.09375
256,57,0.11328125
2,58,1.0
4,58,1.0
8,58,1.0
16,58,1.0
32,58,1.0
64,58,1.0
128,58,1.0
256,58,0.84375
2,59,1.0
4,59,1.0
8,59,1.0
16,59,1.0
32,59,1.0
64,59,1.0
128,59,0.0859375
256,59,0.67578125
2,60,1.0
4,60,1.0
8,60,1.0
16,60,1.0
32,60,1.0
64,60,1.0
128,60,0.125
256,60,0.10546875
2,61,1.0
4,61,1.0
8,61,1.0
16,61,1.0
32,61,1.0
64,61,1.0
128,61,1.0
256,61,0.12109375
2,62,1.0
4,62,1.0
8,62,1.0
16,62,1.0
32,62,1.0
64,62,1.0
128,62,1.0
256,62,0.08203125
2,63,1.0
4,63,1.0
8,63,1.0
16,63,1.0
32,63,1.0
64,63,1.0
128,63,1.0
256,63,0.0625
2,64,1.0
4,64,1.0
8,64,1.0
16,64,1.0
32,64,1.0
64,64,1.0
128,64,0.125
256,64,0.08203125
